;Fruit;Company;Clean Format;Sum of Volume;Average of Price
;mango;;;;
;;;Unknown;101 MT;1 822 USD/MT
;;;;;
;;PROVISSO FOODS S.A.C.;;;
;;;Unknown;96 MT;1 455 USD/MT
;;;;;
;;GANDULES INC SAC;;;
;;;Unknown;72 MT;1 773 USD/MT
;;;(blank);0 MT;1 024 USD/MT
;;;;;
;;HONEST FOODS S.A.C.;;;
;;;Unknown;66 MT;2 494 USD/MT
;;;;;
;;P & M FRUITS S.A.C.;;;
;;;Chunks;33 MT;1 682 USD/MT
;;;Pulp;17 MT;1 586 USD/MT
;;;;;
;;PACHAMAMA FARMS S.A.C.;;;
;;;(blank);24 MT;2 900 USD/MT
;;;Unknown;24 MT;1 175 USD/MT
;;;;;
Mango;;SOCIEDAD MERCANTIL (EXPORTACION) SA;;;
;;;Unknown;46 MT;2 994 USD/MT
;;;;;
;;COTRINA EXPORTS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - COTRINA EXPORTS E.I.R.L.;;;
;;;Cubes;29 MT;1 710 USD/MT
;;;Chunks;14 MT;1 710 USD/MT
;;;;;
;;GRUPO TAVARI S.A.C.;;;
;;;Chunks;22 MT;1 746 USD/MT
;;;Unknown;12 MT;2 093 USD/MT
;;;;;
;;EXOTICA DIAMOND PERU SOCIEDAD COMERCIAL;;;
;;;Unknown;31 MT;5 603 USD/MT
;;;;;
;;DARO Y ANSER S.A.C.;;;
;;;Chunks;18 MT;1 713 USD/MT
;;;Pulp;6 MT;2 500 USD/MT
;;;;;
;;NORPERU COMPANY CV E.I.R.L.;;;
;;;Chunks;24 MT;1 651 USD/MT
;;;;;
;;KAMPO PERU S.A.C.;;;
;;;Cubes;24 MT;3 300 USD/MT
;;;;;
;;INDUFRUT S.A.C.;;;
;;;Unknown;23 MT;2 950 USD/MT
;;;;;
;;PROYEMSUR S.A.C.;;;
;;;Cubes;22 MT;3 560 USD/MT
;;;Unknown;0 MT;1 000 USD/MT
;;;;;
;;;;;
Avocado;avocado;;;;
;;SUNSHINE EXPORT S.A.C;;;
;;;Unknown;9 919 MT;3 119 USD/MT
;;;Chunks;27 MT;3 738 USD/MT
;;;Pulp;20 MT;2 975 USD/MT
;;;Cubes;0 MT; 750 USD/MT
;;;;;
;;AGROINDUSTRIAS AIB S.A;;;
;;;Pulp;3 652 MT;2 819 USD/MT
;;;Unknown;3 026 MT;2 919 USD/MT
;;;Chunks;1 150 MT;2 961 USD/MT
;;;Halves;470 MT;3 595 USD/MT
;;;Slices;93 MT;3 378 USD/MT
;;;;;
;;VIRÚ GROUP PERÚ S.A.;;;
;;;Unknown;4 056 MT;3 225 USD/MT
;;;Cubes;1 334 MT;3 666 USD/MT
