fruit_name,Exporter,format_type,Shipments,Avg Price USD/MT,Median Price USD/MT,Std Dev,Min Price USD/MT,Max Price USD/MT,Total Volume MT,Destination Countries,Organic,IQF,Certifications
avocado,FRUTOS TROPICALES PERU EXPORT SOCIEDAD A,unknown,2,3142.05,3142.05,59.47,3100.0,3184.1,21.3,"Italy, Netherlands",No,No,conventional
avocado,FUSION FOODS S.A.C.,halves,1,4921.9,4921.9,,4921.9,4921.9,19.15,Estonia,No,No,
avocado,GRUPO TAVARI S.A.C.,broken_pieces,3,2066.12,2333.74,768.11,1200.0,2664.63,39.41,"Belgium, France, Spain",No,Yes,
avocado,GRUPO TAVARI S.A.C.,chunks,24,2772.7,2815.04,450.25,1200.0,3735.0,384.62,"Belgium, France, Italy, Spain, United Kingdom",No,No,
avocado,GRUPO TAVARI S.A.C.,halves,5,3215.67,3148.14,469.53,2838.0,3990.0,45.1,"Belgium, Spain, United Kingdom",No,No,
avocado,GRUPO TAVARI S.A.C.,iqf,4,2713.51,2617.19,280.56,2496.06,3123.58,77.0,"Belgium, France",No,Yes,
avocado,GRUPO TAVARI S.A.C.,pulp,2,2018.54,2018.54,1440.43,1000.0,3037.07,19.94,France,No,No,
avocado,GRUPO TAVARI S.A.C.,slices,3,3447.4,3252.19,476.03,3100.0,3990.0,21.84,"Belgium, United Kingdom",No,No,
avocado,GRUPO TAVARI S.A.C.,unknown,38,2985.93,2946.37,494.66,2300.0,3990.0,566.38,"Belgium, France, Poland, Spain, United Kingdom",Yes,No,organic
avocado,HONEST FOODS S.A.C.,chunks,11,2966.9,2885.91,355.35,2477.67,3818.01,218.54,"Belgium, France",Yes,No,organic
avocado,HONEST FOODS S.A.C.,pulp,2,3253.92,3253.92,602.81,2827.67,3680.17,48.0,Belgium,No,No,
avocado,HONEST FOODS S.A.C.,puree,6,2821.12,2829.62,176.67,2522.13,3005.33,101.74,Belgium,No,No,
avocado,HONEST FOODS S.A.C.,unknown,5,2987.29,2885.91,147.42,2874.09,3152.73,110.49,France,No,No,
avocado,MEBOL GF S.A.C.,chunks,1,2852.03,2852.03,,2852.03,2852.03,21.0,Sweden,No,No,
avocado,MEBOL GF S.A.C.,unknown,2,3256.88,3256.88,9.73,3250.0,3263.76,42.0,Sweden,No,No,
avocado,MONDO IMPRENDITORE S.A.C.,unknown,6,885.08,1000.0,178.17,643.84,1000.0,0.12,"Belgium, Denmark, France, Germany, United Kingdom",No,No,
avocado,PROCESADORA LARAN SAC,chunks,1,4738.17,4738.17,,4738.17,4738.17,12.14,Netherlands,No,No,
avocado,PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,chunks,1,2867.96,2867.96,,2867.96,2867.96,24.0,Belgium,No,No,
avocado,PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,cubes,1,3190.0,3190.0,,3190.0,3190.0,7.2,Spain,No,No,
avocado,PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,halves,1,3300.0,3300.0,,3300.0,3300.0,5.28,Spain,No,No,
avocado,PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,iqf,2,2860.96,2860.96,63.59,2815.99,2905.92,46.0,"Italy, Poland",No,Yes,
avocado,PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,slices,2,3000.0,3000.0,0.0,3000.0,3000.0,24.96,Spain,No,Yes,
avocado,PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,unknown,3,2895.86,2867.96,69.33,2844.82,2974.79,64.09,"Belgium, Italy, Spain",No,No,
avocado,PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,chunks,3,3525.0,3531.97,19.84,3502.62,3540.42,45.02,Poland,No,Yes,
avocado,PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,halves,1,50.0,50.0,,50.0,50.0,0.0,Netherlands,No,No,
avocado,PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,iqf,2,2955.03,2955.03,174.8,2831.43,3078.63,8.23,Poland,No,Yes,
avocado,PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,puree,3,371.14,104.29,546.68,9.14,1000.0,0.11,"Netherlands, Poland",Yes,No,organic
avocado,PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,slices,1,50.0,50.0,,50.0,50.0,0.0,Netherlands,No,No,
avocado,SUNSHINE EXPORT S.A.C,pulp,1,3200.0,3200.0,,3200.0,3200.0,20.16,United Kingdom,No,No,
avocado,SUNSHINE EXPORT S.A.C,unknown,430,3019.22,3000.0,495.34,500.0,4410.0,6559.65,"Belgium, Denmark, France, Germany, Italy, Netherlands, Spain, Sweden, United Kingdom",No,No,
avocado,VIRU S.A.,broken_pieces,4,1767.84,2280.71,1027.23,227.0,2282.92,72.01,"France, Spain",No,No,
avocado,VIRU S.A.,chunks,18,2723.97,2829.72,597.4,1170.0,3617.19,267.34,"Belgium, France, Netherlands, Slovenia, Spain, Sweden, United Kingdom",No,No,
avocado,VIRU S.A.,cubes,79,3221.36,3185.35,331.1,2300.0,3821.2,1403.65,"Belgium, France, Netherlands, Spain, Sweden",No,Yes,
avocado,VIRU S.A.,halves,17,2555.9,2897.7,1059.92,227.0,3297.32,241.24,"Belgium, France, Netherlands, Spain, Sweden, United Kingdom",No,No,
avocado,VIRU S.A.,slices,10,1761.97,925.0,1681.74,200.0,4164.5,33.14,"Denmark, France, Netherlands, Slovenia, Spain",No,No,
avocado,VIRU S.A.,unknown,167,2590.47,2946.85,1298.51,100.0,5000.0,1961.59,"Belgium, Denmark, France, Germany, Italy, Netherlands, Spain, Sweden, United Kingdom",No,No,
avocado,VIRÚ GROUP PERÚ S.A.,broken_pieces,1,2375.2,2375.2,,2375.2,2375.2,20.0,Spain,No,No,
avocado,VIRÚ GROUP PERÚ S.A.,chunks,3,2027.87,2377.2,905.25,1000.0,2706.41,39.01,"Spain, Sweden, United Kingdom",No,No,
avocado,VIRÚ GROUP PERÚ S.A.,cubes,47,3259.87,3286.33,411.39,1750.08,4577.84,792.49,"France, Netherlands, Spain, Sweden",No,No,
avocado,VIRÚ GROUP PERÚ S.A.,halves,16,1562.96,909.62,1449.66,2.0,3326.15,76.81,"France, Spain, Sweden, United Kingdom",No,No,
avocado,VIRÚ GROUP PERÚ S.A.,slices,18,2099.54,2685.21,1500.7,2.0,4532.05,164.13,"Netherlands, Spain, Sweden, United Kingdom",No,No,
avocado,VIRÚ GROUP PERÚ S.A.,unknown,258,3471.65,3240.66,1718.18,150.0,19422.05,3450.91,"Belgium, Denmark, France, Italy, Netherlands, Spain, Sweden, United Kingdom",No,No,
avocado,WESTFALIA FRUIT PERÚ S.A.C.,cubes,11,2934.95,2860.0,155.06,2770.0,3246.27,213.84,"Netherlands, United Kingdom",No,Yes,
avocado,WESTFALIA FRUIT PERÚ S.A.C.,iqf,14,2908.74,2860.0,123.16,2740.0,3153.39,266.08,"Belgium, United Kingdom",No,Yes,
avocado,WESTFALIA FRUIT PERÚ S.A.C.,pulp,8,3102.73,3194.72,179.51,2890.0,3262.69,186.8,United Kingdom,No,No,
avocado,WESTFALIA FRUIT PERÚ S.A.C.,unknown,45,2938.8,3040.0,278.94,1800.0,3262.69,866.59,"Belgium, Netherlands, United Kingdom",No,No,
banana,AGROINDUSTRIAS CRIAL S.A.C.,pulp,1,7400.0,7400.0,,7400.0,7400.0,0.0,United Kingdom,No,No,
banana,DOMINUS S.A.C,unknown,1,1338.32,1338.32,,1338.32,1338.32,21.0,Netherlands,No,No,
banana,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,slices,2,1890.86,1890.86,335.2,1653.83,2127.88,6.0,United Kingdom,No,No,conventional
banana,FRUTOS TONGORRAPE SOCIEDAD ANONIMA,slices,2,60.0,60.0,42.43,30.0,90.0,0.0,Netherlands,No,Yes,
banana,INCA INDUSTRIAS AGRICOLAS S.A.C.,unknown,5,2800.0,2800.0,0.0,2800.0,2800.0,2.81,Spain,No,No,
banana,LAMAS IMPORT EXPORT S.A.C.,unknown,4,1679.93,1666.54,90.16,1601.62,1785.0,10.74,Spain,No,No,
banana,MONDO IMPRENDITORE S.A.C.,unknown,1,666.67,666.67,,666.67,666.67,0.01,France,No,No,
