Exporter,format_type,acai,avocado,banana,blueberry,camu_camu,cherimoya,golden_berry,grape,lucuma,mango,mix,papaya,passion_fruit,pineapple,pitaya,pomegranate,soursop,strawberry
FRUTÍCOLA OLMUÉ PERÚ S.A.C.,broken_pieces,,,,,,,,,,3571.43,,,,,,,,
FRUTÍCOLA OLMUÉ PERÚ S.A.C.,chunks,,,,,,,,,,1845.0,,,,,,,,
FRUTÍCOLA OLMUÉ PERÚ S.A.C.,cubes,,,,,,,,,,1820.0,,,,,,,,
FRUTÍCOLA OLMUÉ PERÚ S.A.C.,iqf,,,,2550.0,,,,,,2900.05,2680.0,,,,,,,
FRUTÍCOLA OLMUÉ PERÚ S.A.C.,unknown,,,,2349.97,,,,,,,,,,,,,,
FUSION FOODS S.A.C.,chunks,,,,,,,,,,2150.0,,,,,,,,
FUSION FOODS S.A.C.,halves,,4921.9,,,,,,,,,,,,,,,,
FUSION FOODS S.A.C.,iqf,,,,2323.96,,,,,,,,,,,,,,
FUSION FOODS S.A.C.,pulp,,,,,,5847.28,,,4269.11,4271.17,,,5638.65,,,,5638.67,
GAMN EXPORT & IMPORT SERV GNRAL S.A.C.,unknown,,,,2345.33,,,,,,,,,,,,,,
GANDULES INC SAC,iqf,,,,,,,,,,1000.0,,,,,,,,
GANDULES INC SAC,unknown,,,,,,,,,,1790.0,,,,,,,,
GRUPO TAVARI S.A.C.,broken_pieces,,2333.74,,,,,,,,,,,,,,,,
GRUPO TAVARI S.A.C.,chunks,,2815.04,,,,,,,,1746.27,,,,,,,,
GRUPO TAVARI S.A.C.,halves,,3148.14,,,,,,,,,,,,,,,,
GRUPO TAVARI S.A.C.,iqf,,2617.19,,,,,,,,,,,,,,,,
GRUPO TAVARI S.A.C.,pulp,,2018.54,,,,,,,,,,,,,,,,
GRUPO TAVARI S.A.C.,slices,,3252.19,,,,,,,,,,,,,,,,
GRUPO TAVARI S.A.C.,unknown,,2946.37,,,,,,,,2092.92,,,,,,,,
HONEST FOODS S.A.C.,chunks,,2885.91,,,,,,,,,,,,,,,,
HONEST FOODS S.A.C.,pulp,,3253.92,,,,,,,,,,,,,,,,
HONEST FOODS S.A.C.,puree,,2829.62,,,,,,,,,,,,,,,,
HONEST FOODS S.A.C.,unknown,,2885.91,,,,,,,,,,,,,,,,
INCA INDUSTRIAS AGRICOLAS S.A.C.,unknown,,,2800.0,,,,,,,,,,,,,,,
INCA INVEST PERU S.A.C.,unknown,,,,,,,,,3900.0,,,,,,,,,
INDUSTRIAS SISA S.A.C.,pulp,,,,,,,,,3200.0,,,,2323.07,,,,,
LAMAS IMPORT EXPORT S.A.C.,chunks,,,,,,,,,,,,1282.26,,,,,,
LAMAS IMPORT EXPORT S.A.C.,halves,,,,,,,,,1875.0,,,,,,,,,
LAMAS IMPORT EXPORT S.A.C.,pulp,,,,,,,,,1293.34,1462.38,,,1657.36,1599.62,,,1600.0,
LAMAS IMPORT EXPORT S.A.C.,unknown,,,1666.54,,,,,,,,,,2133.2,,,,1128.57,
LAMAS IMPORT EXPORT S.A.C.,whole,,,,,,,,,,,,,1314.14,,,,1447.01,
MAPA LOGISTICA INTERNACIONAL SAC,unknown,,,,,,,,,2000.0,,,,2777.78,,,,,
"MCMC PERU S.A,C,",unknown,,,,,48095.0,,,,,,,,,,,,,
MEBOL GF S.A.C.,chunks,,2852.03,,2587.75,,,,,,2149.84,,,,,,,,
MEBOL GF S.A.C.,unknown,,3256.88,,2585.42,,,425.0,425.0,,2034.26,,,,425.0,,,,
MEBOL SAC,chunks,,,,2456.33,,,,,,1830.0,,,3599.71,,,,,
MEBOL SAC,unknown,,,,2305.0,,,,,,1830.0,,,,,,,,
MERRILL CORPORACION S.A.C.,unknown,,,,,50321.43,,,,,,,,,,,,,
MIKUY TRADERS S.A.C.,chunks,,,,,,,,,,,,1999.8,,,,,,
MIKUY TRADERS S.A.C.,pulp,,,,,,,,,2652.9,,,1804.63,2008.03,,,,2660.2,
MIRANDA - LANGA AGRO EXPORT S.A.C - MIRANDA - LANGA S.A.C,pulp,,,,,,,,,4174.0,,,,3500.0,,,,,
MONARCA EXPORTS S.A.C.,unknown,,,,,,,,,,,,,,,,,,19598.84
MONDO IMPRENDITORE S.A.C.,pulp,,,,,,,,,,111.11,,,,,,,,
MONDO IMPRENDITORE S.A.C.,unknown,,1000.0,666.67,625.0,,,666.67,666.67,,661.97,666.67,666.67,625.0,666.67,,,,666.67
MULTISERVICIOS ROMERO'S & MORENO'S S.A.C.,unknown,,,,,,,,,3420.0,,,,3095.0,,,,,
NEGOCIOS E INVERSIONES MACOVIJ E.I.R.L. - NIMACOVIJ E.I.R.L.,unknown,,,,,,,,,4000.0,,,,,,,,,
NITHO'S COMPANY S.A.C.,unknown,,,,,,,,,2000.0,,,,,,,,,
NOVAL COMPANY S.A.C.,unknown,,,,,,,,,3700.0,,,,,,,,3350.0,
OLLADEBARROFOODSOCIEDADCOMERCIALDERESPON,unknown,,,,,,,,,2800.0,,,,2610.0,,,,,
P & M FRUITS S.A.C.,chunks,,,,,,,,,,1682.17,,,,,,,,
P & M FRUITS S.A.C.,unknown,,,,2250.0,,,,,,100.0,,,,,,,,
PACIFIC IQF SAC,chunks,,,,,,,,,,,,,,1232.01,,,,
PERUVIAN FOOD GROUPS SOCIEDAD ANONIMA CERRADA.,chunks,,,,,,,,,,1662.33,,,,,,,,
PERUVIAN FOOD GROUPS SOCIEDAD ANONIMA CERRADA.,whole,,,,,,,3350.0,,,,,,,,,,,
PROCESADORA LARAN SAC,chunks,,4738.17,,,,,,,,1632.71,,,,,,,,
PROCESADORA LARAN SAC,unknown,,,,,,,,,,,,,,950.0,,,,
PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,chunks,,2867.96,,,,,,,,1741.0,,,,,,,,
PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,cubes,,3190.0,,,,,,,,,,,,,,,,
PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,halves,,3300.0,,,,,,,,,,,,,,,,
PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,iqf,,2860.96,,,,,,,,,,,,,,,,
PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,slices,,3000.0,,,,,,,,,,,,,,,,
PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,unknown,,2867.96,,,,,,,,1719.42,,,,3325.0,,,,
PRODUCTORA ANDINA DE CONGELADOS S.R.L.,chunks,,,,,,,,,,1380.0,,,,,,,,
PRODUCTORA ANDINA DE CONGELADOS S.R.L.,unknown,,,,,,,,,,1250.0,,,,,,,,
PROFRUIT INDUSTRY S.A.C.,chunks,,,,,,,,,,1624.06,,,,,,,,
PROYECTOS & EXPORTACIONES CASMA S.A.C.,unknown,,,,5550.0,,,,,,,4950.0,,,,,,,
PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,chunks,,3531.97,,,,,,,,1850.71,,,,,,,,
PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,halves,,50.0,,,,,,,,1025.0,,,,,,,,
PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,iqf,,2955.03,,,,,,,,1190.25,,,,,,,,
PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,puree,,104.29,,,,,,,,,,,,,,,,
PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,slices,,50.0,50.0,,,,,,,,,,,,,,,
QORI FOODS S.A.C.,unknown,,,,,,,,,1600.0,,,,,,,,,
QUICORNAC S.A.C.,concentrate,,,,,,,,,,1079.02,,,,,,,,
QUICORNAC S.A.C.,puree,,,,,,,,,,830.73,,,,,,,,
QUICORNAC S.A.C.,unknown,,,,,,,,,,1279.8,,,,,,,,
SANTA SOFIA DEL SUR S.A.C.,chunks,,,,,,,,,,1561.83,,,,,,,,
SANTA SOFIA DEL SUR S.A.C.,unknown,,,,,,,,,,1578.92,,,,,,,,
SELVA INDUSTRIAL S.A.,chunks,,,,,,,,,,,,,,3150.0,,,,
SELVA Y FLORESTA SOCIEDAD ANONIMA CERRADA - SELFLO S.A.C.,unknown,,,,,,,,,2490.0,,,,,,,,,
SERVICIOS PROCESADORA PERU S.A.C.,unknown,,,,1530.83,,,,,,,,,,,,,,
SILVA & ZAPATA IMPORTACION S.A.C.,unknown,,,,,,,,,3970.0,,,,,,,,,
SOCIEDAD MERCANTIL (EXPORTACION) SA,unknown,,,,1712.67,,,,,,,,,,,,,,
SOCIEDAD MERCANTIL (EXPORTACION) SA,whole,,,,1825.5,,,,,,,,,,,,,,
SOLIMAR INDUSTRIA E.I.R.L.,chunks,,,,,,,,,,1547.16,,,,,,,,
SUNSHINE EXPORT S.A.C,pulp,,3200.0,,,,,,,,,,,,,,,,
SUNSHINE EXPORT S.A.C,unknown,,3000.0,,2295.26,,,,,,1720.0,3030.0,,,,,,,
TANA FRUITS EXPORT E.I.R.L.,unknown,,,,,,,,,,1927.27,,,,,,,,
THE GREEN FARMER S.A.C.,pulp,,,,,,,,,3820.0,,,,3700.0,,,,,
UNION DE NEGOCIOS CORPORATIVOS SOCIEDAD ANONIMA CERRADA,whole,,,,2394.86,,,,,,,,,,,,,,
VIRU S.A.,broken_pieces,,2280.71,,,,,,,,,,,,,,,,
VIRU S.A.,chunks,,2829.72,,2555.29,,,,,,1984.64,,,,227.0,,,,
VIRU S.A.,cubes,,3185.35,,,,,,,,2113.31,,,,,,,,
VIRU S.A.,halves,,2897.7,,,,,,,,2028.33,,,,,,,,
VIRU S.A.,pulp,1170.0,,,,,,,,,,,,,1170.0,,,,1170.0
VIRU S.A.,slices,,925.0,441.0,,,,,,,,,,,,,,,
VIRU S.A.,unknown,325.84,2946.85,391.67,1170.0,,,,227.0,,1941.88,,,,255.0,,,,2180.43
VIRU S.A.,whole,,,1170.0,2850.0,,,,,,,,,,,,,,
