fruit_name,Exporter,Shipments,Avg Price USD/MT,Median Price USD/MT,Min Price USD/MT,Max Price USD/MT,Total Volume MT,Formats Offered
mango,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,15,2106.47,2152.41,1453.6,3005.65,130.96,"chunks, cubes, iqf, pulp, unknown"
mango,FUSION FOODS S.A.C.,18,2858.83,2454.02,853.44,5756.14,129.38,"chunks, pulp"
mango,DEL ANDE ALIMENTOS S.A.C.,5,1526.66,1650.0,1.0,2532.31,91.04,"chunks, cubes"
mango,AGRO FROST S.A.C.,4,1720.47,1720.48,1645.46,1795.46,88.0,chunks
mango,GANDULES INC SAC,6,1401.07,1413.22,1000.0,1790.0,72.02,"iqf, unknown"
mango,PERUVIAN FOOD GROUPS SOCIEDAD ANONIMA CERRADA.,3,1628.36,1662.33,1556.25,1666.5,72.0,chunks
mango,GRUPO TAVARI S.A.C.,2,1919.6,1919.6,1746.27,2092.92,34.0,"chunks, unknown"
mango,P & M FRUITS S.A.C.,2,891.08,891.08,100.0,1682.17,24.01,"chunks, unknown"
mango,TANA FRUITS EXPORT E.I.R.L.,5,1890.91,1927.27,1800.0,1927.27,14.0,unknown
mango,SOLIMAR INDUSTRIA E.I.R.L.,2,1547.16,1547.16,1000.0,2094.31,5.25,chunks
mango,LAMAS IMPORT EXPORT S.A.C.,2,1462.38,1462.38,1257.14,1667.61,3.9,pulp
mango,MONDO IMPRENDITORE S.A.C.,4,604.46,653.36,111.11,1000.0,0.2,"pulp, unknown"
mango,ANDES TRADERS S.A.C.,2,1142.0,1142.0,1142.0,1142.0,0.01,"chunks, pulp"
mango,ALIMENTOS HIMALAYA PERU E.I.R.L.,1,250.0,250.0,250.0,250.0,0.0,pulp
mango,ANDEAN PARTNER FOOD S.A.C.,1,200.0,200.0,200.0,200.0,0.0,strips
mix,FRUTÍCOLA OLMUÉ PERÚ S.A.C.,5,2674.0,2680.0,2650.0,2680.0,120.0,iqf
mix,PROYECTOS & EXPORTACIONES CASMA S.A.C.,1,4950.0,4950.0,4950.0,4950.0,3.0,unknown
mix,MONDO IMPRENDITORE S.A.C.,2,666.67,666.67,666.67,666.67,0.01,unknown
mix,SUNSHINE EXPORT S.A.C,1,3030.0,3030.0,3030.0,3030.0,0.0,unknown
mix,VIRÚ GROUP PERÚ S.A.,1,150.0,150.0,150.0,150.0,0.0,unknown
papaya,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,2,2244.98,2244.98,2242.17,2247.79,1.15,cubes
