Exporter;Fruit;Format;Average of Average Price (USD/MT);Sum of Volume (MT)
;mango;;;
;;chunks;2 280 USD/MT;62 MT
;;iqf;1 994 USD/MT;28 MT
;;cubes;1 974 USD/MT;25 MT
;;pulp;1 700 USD/MT;1 MT
;blueberry;;;
;;whole;2 282 USD/MT;46 MT
;avocado;;;
;;halves;3 455 USD/MT;11 MT
;;slices;3 519 USD/MT;5 MT
;;cubes;3 398 USD/MT;3 MT
;;pulp;645 USD/MT;0 MT
;pineapple;;;
;;chunks;2 185 USD/MT;5 MT
;;cubes;2 248 USD/MT;1 MT
;banana;;;
;;slices;1 891 USD/MT;6 MT
;lucuma;;;
;;pulp;4 196 USD/MT;4 MT
;passion_fruit;;;
;;pulp;3 600 USD/MT;1 MT
;papaya;;;
;;cubes;2 245 USD/MT;1 MT
;soursop;;;
;;pulp;5 985 USD/MT;0 MT
FRUTOS TROPICALES PERU EXPORT SOCIEDAD A;;;1 221 USD/MT;167 MT
;mango;;;
;;chunks;1 992 USD/MT;167 MT
;avocado;;;
;;chunks;835 USD/MT;0 MT
;;halves;835 USD/MT;0 MT
AGRICOLA LOS MEDANOS S.A.;;;2 575 USD/MT;161 MT
;avocado;;;
;;halves;2 650 USD/MT;121 MT
;;iqf;2 500 USD/MT;39 MT
FRUTICAL S.A.C.;;;2 893 USD/MT;159 MT
;blueberry;;;
;;iqf;2 227 USD/MT;96 MT
;avocado;;;
;;puree;3 370 USD/MT;24 MT
;;iqf;2 670 USD/MT;22 MT
;;slices;3 305 USD/MT;17 MT
AGROFRUTOS TRADING S.A.;;;1 603 USD/MT;154 MT
;mango;;;
;;chunks;1 603 USD/MT;154 MT
PROFRUIT INDUSTRY S.A.C.;;;1 645 USD/MT;144 MT
;mango;;;
;;chunks;1 645 USD/MT;144 MT
SANTA SOFIA DEL SUR S.A.C.;;;1 556 USD/MT;120 MT
;mango;;;
;;chunks;1 556 USD/MT;120 MT
DOMINUS S.A.C;;;1 761 USD/MT;116 MT
;mango;;;
;;chunks;1 761 USD/MT;116 MT
UNION DE NEGOCIOS CORPORATIVOS SOCIEDAD ANONIMA CERRADA;;;2 397 USD/MT;94 MT
;blueberry;;;
