fruit_name,Exporter,Total Volume MT,Avg Price USD/MT,Formats
mango,VIRÚ GROUP PERÚ S.A.,1294.0,1545.0,"chunks, cubes, halves, unknown"
mango,AGROMAR INDUSTRIAL S.A.,976.0,1517.0,"chunks, unknown"
mango,DOMINUS S.A.C,966.0,1703.0,"chunks, unknown"
mango,SANTA SOFIA DEL SUR S.A.C.,924.0,1556.0,"chunks, unknown"
mango,PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,775.0,1420.0,"chunks, cubes, halves, iqf"
mango,WESTFALIA FRUIT PERÚ S.A.C.,732.0,1495.0,"iqf, unknown"
mango,FRUTOS TONGORRAPE SOCIEDAD ANONIMA,553.0,1268.0,"chunks, cubes, halves, iqf, unknown"
mango,ARA FOODS INDUSTRY S.A.C.,548.0,1850.0,"chunks, unknown"
mango,AMARA FOODS S.A.C.,539.0,834.0,pulp
mango,PROCESADORA LARAN SAC,470.0,1829.0,chunks
mango,MEBOL SAC,382.0,1833.0,"chunks, unknown"
mango,DANPER TRUJILLO S.A.C.,380.0,1845.0,unknown
mango,PRODUCTORA ANDINA DE CONGELADOS S.R.L.,262.0,1370.0,"chunks, unknown"
mango,MEBOL GF S.A.C.,253.0,2062.0,"chunks, unknown"
mango,AGROFRUTOS TRADING S.A.,154.0,1603.0,chunks
mango,PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,144.0,1651.0,"chunks, unknown"
mango,PROFRUIT INDUSTRY S.A.C.,144.0,1645.0,chunks
mango,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,131.0,2106.0,"chunks, cubes, iqf, pulp, unknown"
mango,FUSION FOODS S.A.C.,124.0,2400.0,"chunks, pulp"
mango,DEL ANDE ALIMENTOS S.A.C.,91.0,1527.0,"chunks, cubes"
mango,AGRO FROST S.A.C.,88.0,1720.0,chunks
mango,GANDULES INC SAC,72.0,1401.0,"iqf, unknown"
mango,PERUVIAN FOOD GROUPS SOCIEDAD ANONIMA CERRADA.,72.0,1628.0,chunks
mango,GRUPO TAVARI S.A.C.,34.0,1920.0,"chunks, unknown"
mango,P & M FRUITS S.A.C.,24.0,891.0,"chunks, unknown"
mango,TANA FRUITS EXPORT E.I.R.L.,14.0,1891.0,unknown
mango,SOLIMAR INDUSTRIA E.I.R.L.,5.0,1547.0,chunks
mango,LAMAS IMPORT EXPORT S.A.C.,4.0,1462.0,pulp
mango,ALIMENTOS HIMALAYA PERU E.I.R.L.,0.0,250.0,pulp
mango,ANDEAN PARTNER FOOD S.A.C.,0.0,200.0,"cubes, strips"
mango,ANDES TRADERS S.A.C.,0.0,1142.0,"chunks, pulp"
mango,MONDO IMPRENDITORE S.A.C.,0.0,604.0,"pulp, unknown"
mix,FRUTÍCOLA OLMUÉ PERÚ S.A.C.,120.0,2674.0,iqf
mix,PROYECTOS & EXPORTACIONES CASMA S.A.C.,3.0,4950.0,unknown
mix,MONDO IMPRENDITORE S.A.C.,0.0,667.0,unknown
mix,SUNSHINE EXPORT S.A.C,0.0,3030.0,unknown
mix,VIRÚ GROUP PERÚ S.A.,0.0,150.0,unknown
papaya,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,1.0,2245.0,cubes
papaya,MIKUY TRADERS S.A.C.,1.0,1902.0,"chunks, pulp"
papaya,LAMAS IMPORT EXPORT S.A.C.,0.0,1282.0,chunks
papaya,MONDO IMPRENDITORE S.A.C.,0.0,667.0,unknown
passion_fruit,AMARA FOODS S.A.C.,74.0,2388.0,pulp
passion_fruit,FUSION FOODS S.A.C.,56.0,4210.0,pulp
passion_fruit,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,55.0,3433.0,"cubes, unknown"
passion_fruit,FLYMEXPORT PERU E.I.R.L.,39.0,3528.0,pulp
passion_fruit,LAMAS IMPORT EXPORT S.A.C.,24.0,1776.0,"pulp, unknown, whole"
passion_fruit,ZOWI PERU SOCIEDAD ANONIMA CERRADA,13.0,2973.0,pulp
passion_fruit,INDUSTRIAS SISA S.A.C.,5.0,2122.0,pulp
passion_fruit,MIKUY TRADERS S.A.C.,5.0,1682.0,pulp
passion_fruit,MEBOL SAC,4.0,3600.0,chunks
passion_fruit,MIRANDA - LANGA AGRO EXPORT S.A.C - MIRANDA - LANGA S.A.C,3.0,3500.0,pulp
passion_fruit,THE GREEN FARMER S.A.C.,2.0,3700.0,pulp
passion_fruit,BLOSSOM TRAINER PERU S.A.C.,1.0,2450.0,unknown
passion_fruit,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,1.0,3600.0,pulp
passion_fruit,OLLADEBARROFOODSOCIEDADCOMERCIALDERESPON,1.0,2540.0,unknown
passion_fruit,AGROINDUSTRIAS CRIAL S.A.C.,0.0,1500.0,pulp
passion_fruit,ALIMENTOS HIMALAYA PERU E.I.R.L.,0.0,250.0,pulp
passion_fruit,EMPRESA AGRARIA CAFETALERA CHANCHAMAYO H,0.0,4672.0,pulp
passion_fruit,FALEB CORP E.I.R.L.,0.0,2875.0,unknown
passion_fruit,MAPA LOGISTICA INTERNACIONAL SAC,0.0,2778.0,unknown
passion_fruit,MONDO IMPRENDITORE S.A.C.,0.0,625.0,unknown
passion_fruit,MULTISERVICIOS ROMERO'S & MORENO'S S.A.C.,0.0,3095.0,unknown
pineapple,PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,96.0,3363.0,unknown
pineapple,SELVA INDUSTRIAL S.A.,91.0,3175.0,chunks
pineapple,PACIFIC IQF SAC,25.0,1232.0,chunks
pineapple,PROCESADORA LARAN SAC,24.0,950.0,unknown
pineapple,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,6.0,2206.0,"chunks, cubes"
pineapple,VIRÚ GROUP PERÚ S.A.,4.0,735.0,"chunks, pulp, unknown"
pineapple,LAMAS IMPORT EXPORT S.A.C.,1.0,1600.0,pulp
pineapple,AGROINDUSTRIAS CRIAL S.A.C.,0.0,1500.0,pulp
pineapple,ANDEAN PARTNER FOOD S.A.C.,0.0,200.0,unknown
pineapple,ANDES TRADERS S.A.C.,0.0,1142.0,"chunks, pulp"
pineapple,MEBOL GF S.A.C.,0.0,425.0,unknown
pineapple,MONDO IMPRENDITORE S.A.C.,0.0,667.0,unknown
pineapple,VIRU S.A.,0.0,734.0,"chunks, pulp, unknown"
pitaya,CAMPOSOL S.A.,0.0,1957.0,unknown
pomegranate,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,20.0,3800.0,cubes
soursop,LAMAS IMPORT EXPORT S.A.C.,8.0,1482.0,"pulp, unknown, whole"
soursop,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,0.0,5985.0,pulp
soursop,FUSION FOODS S.A.C.,0.0,5639.0,pulp
soursop,MIKUY TRADERS S.A.C.,0.0,2660.0,pulp
soursop,NOVAL COMPANY S.A.C.,0.0,3350.0,unknown
strawberry,VIRU S.A.,14.0,1900.0,"pulp, unknown"
strawberry,MONARCA EXPORTS S.A.C.,0.0,19599.0,unknown
strawberry,MONDO IMPRENDITORE S.A.C.,0.0,667.0,unknown
strawberry,VIRÚ GROUP PERÚ S.A.,0.0,2420.0,"halves, slices, unknown, whole"
